,Emails,label
1412,wen lovable bcums angry wid dnt coz angry childish showing deep affection love kettoda manda nice day,0
1413,dear invited xchat final attempt contact txt chat ldn yr,1
1414,wats opinion character,0
1415,jay snickering tell totally fucking chord speak,0
1416,hour hair cut,0
1417,wonder co dun rem silver car thk black,0
1418,lmao send,0
1419,speak feel word silence gud mrng,0
1420,currently scotland,0
1421,work week,0
1422,congratulation awarded gift voucher free entry weekly draw txt music tncs,1
1423,great hungry,0
1424,message,0
1425,second,0
1426,,0
1427,exam march revision fran boyf interviw exeter bit worried,0
1428,make spreadsheet track idea smoke determine smoke entire month february,0
1429,arsenal dartboard condition double treble,1
1430,back building coat sick hurry home wear coat gym,0
1431,painful personal happy time recognises,0
1432,lovely wisheds rock,0
1433,intrepid duo great time,0
1434,asked chennai search job,0
1435,dad oredi,0
1436,jus hope missin co missin feel guilty,0
1437,late early mah juz dinner aiya,0
1438,arm fine cardiff uni,0
1439,fact leave addie back school tues wed,0
1440,cool breeze bright sun fresh flower twittering bird waiting wish goodmorning amp nice day,0
1441,restaurant,0
1442,askd knw tht,0
1443,free week entry textpod chance win ipod cash txt custcare,1
1444,ducking chinchilla,0
1445,marriage function,0
1446,headstart leaving bout desperate company head goin meet rummer,0
1447,give flying monkey wot mind friend,0
1448,registered optin subscriber draw gift voucher entered receipt correct bbc chart,1
1449,,0
1450,message rajini,0
1451,taking ure practical lesson start june,0
1452,drug,0
1453,possible,0
1454,decide faster co si home liao,0
1455,summer finally fancy chat flirt sexy single area matched reply summer free join optout txt stop,1
1456,sleeping haha spy online checking replying mail,0
1457,claire havin borin time chat hope love claire,1
1458,fighting world easy win lose fightng close dificult lose lose win lose,0
1459,bought ringtone text costing pound offering tone,1
1460,yalru lyfu astne chikku innu mundhe lyf halla marriage program edhae lyf ovr chikku vargu lyfu meow meow,0
1461,kind twelve aah speak tomo,0
1462,urgent mobile bonus caller prize attempt reach call possible,1
1463,find lucky told earlier pple finish,0
1464,make thk fall thk prone fall lucky dad home fetch,0
1465,guaranteed latest nokia phone ipod player prize txt word collect,1
1466,account refilled successfully inr decimal keralacircle prepaid account balance decimal transaction,0
1467,touch permission,0
1468,lucy hubby meetins day fri fancy cumin pls leave message lucy,1
1469,wonder world style smile personality nature sm lovely friendship morning dear,0
1470,small dose tablet fever,0
1471,real valentine shopping,0
1472,email address incomm,0
1473,blake night early,0
1474,friendship game play word start march end tomorrow yesterday today,0
1475,nice wait texting pay ticket,0
1476,watching lotr si dis aft wan meet dinner nite,0
1477,keeping away,0
1478,find check google map place dorm,0
1479,trip tiring uni start today co taking module jus concentrating final project,0
1480,welp,0
1481,guy browsin compulsory,0
1482,,0
1483,purity friendship smiling reading forwarded message smiling gud evng musthu,0
1484,sorry call,0
1485,add fuck hey money,0
1486,lover job happy wake slave send teasing kiss,0
1487,told number gautham,0
1488,investigate,0
1489,juz receive,0
1490,believe thing morning wanted morning love beautiful morning library,0
1491,account credited free text message activate txt word credit,1
1492,vomit,0
1493,money money sha,0
1494,weather extra warm cold pls lot vitamin,0
1495,hey gal driving centre tomorrow,0
1496,yahoo messenger send message send mobile sha reply,0
1497,putting ready time,0
1498,time smile crucial thing life time make forget smile smile make forget time gud noon,0
1499,sm jsco energy high leadership skill strong psychic reply reply jsco,1
1500,idp linux system,0
1501,hot live fantasy call ntt box croydon national rate call,1
1502,plan,0
1503,,0
1504,god home,0
1505,total video converter free download type google search,0
1506,vote sing star karaoke mobile free link reply sing,1
1507,wen lovable bcums angry wid dnt coz angry childish showing deep affection love kettoda manda nice day,0
1508,sound testing sayy,0
1509,love make love love loved gud nit,0
1510,phone jenny college,0
1511,oops sorry check mind picking tomo half station,0
1512,hey sweet wondering moment send file yahoo connection suck remember set page download format disc download big file download stuff directly internet great prey teasing kiss,0
1513,champ leaving glasgow,0
1514,congrats,0
1515,wonder text,0
1516,home give lovin,0
1517,brand mobile music service live free music player arrive shortly install phone browse content top artist,1
1518,mistake,0
1519,check wid corect speling sarcasm,0
1520,urgent mobile awarded bonus caller prize attempt contact call national rate,1
1521,angry happen dear,0
1522,thk dun haf hint forum co told ron darren shuhui,0
1523,,0
1524,ct employee,0
1525,pls pls find aunt nike,0
1526,wow love sooo barely stand wonder day love miss,0
1527,screaming mean shouting,0
1528,hey happen alright,0
1529,picked receipt earlier,0
1530,chennai settled,0
1531,dang send,0
1532,unfortunately found pick sister airport evening,0
1533,horrible hungry,0
1534,remember day,0
1535,nokia win free auction part send nokia,1
1536,feel real valentine valentine play,0
1537,sound finger make difficult type,0
1538,midnight earliest,0
1539,make xavier smoke smoke told smoke,0
1540,nordstrom,0
1541,konw waht rael friendship gving yuo exmpel jsut tihs message evrey splleing tihs message wrnog sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dream,0
1542,press conference,0
1543,orange month free access game news sport free text photo message reply term apply,1
1544,completed degree joining finance,0
1545,afternoon love job prospect missing lazy bleak hmmm happy filled love,0
1546,disturb anymore jia,0
1547,bishan lar nearer buy early co buy park car,0
1548,,0
1549,suck snake raiden buff,0
1550,as back south tampa preferably kegger,0
1551,message jus gift,0
1552,,0
1553,dear call chechi,0
1554,,0
1555,found dis pierre cardin normal cost,0
1556,sleep rhythm person establish rhythm body learn,0
1557,,0
1558,message truro hospital ext phone phone side,0
1559,single line big meaning miss life,0
1560,gas money chance gang grand nature adventure,0
1561,dnt worry ice piece cloth tablet,0
1562,parked car sunroof popped suck,0
1563,ready put excellent,0
1564,tomorrow finishing door,0
1565,day ago guy sell wifi blanked,0
1566,late,0
1567,pretty pissed,0
1568,today accept day accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,0
1569,image class,0
1570,rumour buy apartment chennai,0
1571,kalainar,0
1572,currently pound maximize send,1
1573,sm auction brand nokia auction today auction free join part txt nokia,1
1574,si catching show afternoon watching wan watch today tomorrow,0
1575,sound haha yan jiu fast liao,0
1576,nosy guess reacting freaked,0
1577,remember hurt day satanic imposter pay price destiny pray mind,0
1578,make girl happy difficult make girl happy friend companion lover chef listener organizer boyfriend clean sympathetic athletic warm courageous determined dependable intelligent psychologist pest exterminator psychiatrist healer stylist driver aaniye pudunga venaam,0
1579,princess bet brothas chasing,0
1580,book chez jules half,0
1581,hhahhaahahah rofl wtf nig leonardo room,0
1582,yep derek house sunday,0
1583,cool kick day,0
1584,sorry call,0
1585,wondering call uncle john thing nigeria dollar strain plan pay back dime dime expect practical,0
1586,charge transfer charge withdraw,0
1587,search love love find called falling love bcoz force fall smeone hold bslvyl,0
1588,bill miller,0
1589,love set soul fire spark flame big rawring flame xoxo,0
1590,somewhr surely made god decided perfect time make meet person enjoy crush,0
1591,honeymoon outfit,0
1592,propose back tomorrow,0
1593,private account statement show point call identifier code expires,1
1594,blame day life day give happiness day give experience essential life god blessing morning,0
1595,pls confirm time collect cheque,0
1596,registered subscriber draw gift voucher entered receipt correct olympics txt,1
1597,urgent mobile number awarded prize guaranteed call land line claim valid,1
1598,daddy,0
1599,probably check leo,0
1600,special,0
1601,carlos taking sweet time usual patty smoke haul as,0
1602,problem,0
1603,heard job wildlife talk tonight wizzle,0
1604,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaid friend,0
1605,hostel,0
1606,prob lunch,0
1607,jus telling leaving shanghai instead haf time meet,0
1608,freezing home remember kiss mom morning love missing,0
1609,ready big day tomorrow,0
1610,probably lot,0
1611,,0
1612,pro video club info call club credit redeemable enjoy,1
1613,thnx guy,0
1614,sef dey laugh darling anjie,0
1615,food,0
1616,make carlos difficult guy smoke pick batch gas,0
1617,download fring app,0
1618,guy kind flaky friend interested picking worth tonight possible,0
1619,friend stay chat,0
1620,fuck babe miss sooooo wish sleep bed lonely sleep dream love,0
1621,living simple loving simple laughing simple winning tooo simple difficult gud nte,0
1622,secret admirer make contact reveal think,1
1623,confuses thing,0
1624,free text msg text credit account,1
1625,dear call urgnt problem work problem wating reply,0
1626,dear,0
1627,selected stay top british hotel holiday worth claim call london,1
1628,princess make happy,0
1629,sound talent dinner date week,0
1630,film sorry,0
1631,watching movie shop shopping,0
1632,party animal buzz friend grin reminding loved send naughty adoring kiss,0
1633,yesterday home,0
1634,eerie nokia tone rply tone title tone dracula title ghost addamsfa munsters exorcist twilight,1
1635,life brought sun shiny warming heart putting constant smile making feel loved cared,0
1636,shit surprised spent evening french guy town fooled bit fuck,0
1637,network company bill sm responsible supplier,1
1638,great comedy stop laughing,0
1639,freemsg feelin kind lnly hope company jst moby txt reply date hlp stop,1
1640,alright set text,0
1641,keen kind feel tomo mind,0
1642,sleeping feeling,0
1643,switch fone dammit,0
1644,india lead,0
1645,post class,0
1646,thts wright brother fly,0
1647,evening event laden fill worry head throat wrecked,0
1648,laugh loud talk spontaneously feel probably dear amp friend goodevening dear,0
1649,laptop,0
1650,file bag work called find room,0
1651,wan early wun home early neva mind,0
1652,chance win cash txt action custcare,1
1653,bugis juz walking home oredi late reply oso top buy,0
1654,wishing family merry happy year advance,0
1655,,0
1656,posted couple pic snow waking,0
1657,partnership lead,0
1658,rgent attempt contact call callcost mobilesvary,1
1659,class,0
1660,send bec temple,0
1661,coming home class work shower,0
1662,lookin saucy daytime fun wiv busty married woman free week chat sort time janinexx,1
1663,,0
1664,,0
1665,co late reach inside ate spageddies gal laughing,0
1666,guess spent night phasing fourth dimension,0
1667,dad call work crazy question,0
1668,,0
1669,hurting meaningful line compromised love,0
1670,lmao nice,0
1671,glad reply,0
1672,urgent contact today draw show prize guaranteed call land line claim valid,1
1673,monthly password wap wap phone,1
1674,dub buff,0
1675,painful happy toughest earth,0
1676,fine,0
1677,idea,0
1678,special sight remain special sight maintain life end jas,0
1679,today song dedicated day song dedicate send valuable frnds rply,0
1680,wait,0
1681,,0
1682,babe bed sorry tonight tomorrow call love xxx,0
1683,squatting walking,0
1684,bold torch,0
1685,cramp stopped back sleep,0
1686,today vodafone number ending digit selected received award number match call claim award,1
1687,free top ringtone weekly week subpoly,1
1688,nan sonathaya soladha bos,0
1689,bring tat forget,0
1690,sunshine quiz wkly win top sony dvd player country algarve txt ansr tyrone,1
1691,raping dude poker,0
1692,weightloss girl friend make load money ebay give god,0
1693,message leaving congrats dear school plan,0
1694,eatin eatin wif frens home,0
1695,finish yar mushy embarrassed,0
1696,sorry stash ran dry night pick sunday,0
1697,priya doctor,0
1698,free message sorry service ordered delivered sufficient credit top receive service,1
1699,,0
1700,mummy call father,0
1701,room house co house messy haha,0
1702,lost kilo today,0
1703,taste fish curry,0
1704,accidant tookplace ghodbandar traffic move slovely plz slip amp worry,0
1705,yun wkg nu wana specialise wad,0
1706,woman like dislike bed,0
1707,test earlier appreciate call tomorrow,0
1708,loverboy coming queen hmmm ache speak miss desparately,0
1709,meet fren dun wan meet muz guy rite,0
1710,promise dinner,0
1711,back dislike bed,0
1712,turn stereo love phone unknown album,0
1713,hard live chat choose girl connect live call cheap chat biggest live service,1
1714,,0
1715,knw frnds classmate,0
1716,sorry earlier putting talk life,0
1717,wow boy back tour win vip ticket vip club txt club trackmarque info,1
1718,missionary hook doggy hook standing,0
1719,sleep dun disturb liao wake message,0
1720,fighting world easy win lose fightng close dificult lose lose win lose,0
1721,watching house entertaining hugh laurie stick indeed especially stick,0
1722,praps meant goodo tomorrow,0
1723,jon spain recently hav sum dinero left bill aorents mayb interested hav james,0
1724,bold,0
1725,speak minute,0
1726,alrite hunny wot goin town jus pub instead jus chillin bedroom love jen,0
1727,project centre,0
1728,request alaipayuthe set callertune caller press copy friend callertune,0
1729,point guess,0
1730,project frens,0
1731,quality complaining,0
1732,happen tonight,0
1733,mandy sullivan calling hotmix chosen receive easter prize draw telephone claim prize transferred,1
1734,finn,0
1735,tired special,0
1736,tomorrow,0
1737,pick phone pls send message,0
1738,sleep rest,0
1739,guy invite,0
1740,bahamas callfreefone speak live operator claim bahamas cruise cash opt txt,1
1741,inside bedroom,0
1742,calm downon theacusations itxt co iwana wotu doin haventcn age ring nething,0
1743,love wine dine lady,0
1744,conacted dating service entered phone fancy find call landline,1
1745,iaom cool love doin load planning social service inspection nursery spoke,0
1746,account detail mom send mom reach,0
1747,wrong number,0
1748,feel happy slowly habit amp finally part life follow happy morning amp happy day,0
1749,late love mum,0
1750,mail panren paru,0
1751,chuckin red green black trainners save carryin bac train,0
1752,give miss number,0
1753,jus back lunch wif si leh,0
1754,schedule week town weekend,0
1755,dhanush rock,0
1756,lmao needing hair anymore,0
1757,miss love,0
1758,sorry free,0
1759,song stuck head reason away listen time,0
1760,chikku simple habba,0
1761,mail muchand forward lot support contact remember venugopal late dear,0
1762,heart remembrs forgets bcoz heart remembered everytime bslvyl,0
1763,joy father john john joy father mandan,0
1764,ibh customer loyalty offer mobile txtauction txt word start,1
1765,yijue textbook intro algorithm edition selling,0
1766,sm auction nokia win free auction part send nokia,1
1767,,0
1768,difficult simple enter place,0
1769,watch thk tonight haf smth mind,0
1770,show put picture facebook,0
1771,watching job,0
1772,afternoon sexy bun job search wake love wish fine happy adore,0
1773,coming,0
1774,chikku favourite song,0
1775,posted facebook,0
1776,call freephone,1
1777,buy space invader chance win orig arcade game console press game arcade std wap charge term setting purchase,1
1778,wonder world style smile personality nature sm lovely friendship morning dear,0
1779,loan purpose homeowner tenant welcome previously refused call free text back,1
1780,big brother alert computer selected cash voucher call ntt box landline cost mobile vary,1
1781,,0
1782,uncle atlanta wish guy great semester,0
1783,dear free message recharge,0
1784,search love love find called falling love bcoz force fall smeone hold bslvyl,0
1785,dun believe thk told,0
1786,god created gap finger made amp fill gap holding hand love,0
1787,sura sun,0
1788,arun transfr amt,0
1789,takin shower leave,0
1790,working eye philosophy text bit free chat,0
1791,havenaot lost didnaot intend hurt knew felt thataos careabout,0
1792,win winner foley ipod exciting prize eye mobile visit,1
1793,girl remember,0
1794,gave morning,0
1795,hope alright babe worry felt bit desparate learned job fake waiting back love,0
1796,hey blake address carlos wanted meet lost answering phone,0
1797,opinion,0
1798,week leave put time,0
1799,hit move,0
1800,excellent spent year air force iraq afghanistan stable honest traveling,0
1801,watch movie,0
1802,school,0
1803,class text,0
1804,bus leaf,0
1805,god sleep dear pray,0
1806,today voda number ending selected receive match call quoting claim code standard rate app,1
1807,nice day today love dearly,0
1808,aiyo bit seh scared dun rem hee lookin oredi leh,0
1809,aight roommate,0
1810,house beer,0
1811,wan meet combine part rest project,0
1812,ticket walsall march mate sat pay treat txt bak,0
1813,chatting,0
1814,jess work call home eve xxx,0
1815,sian aft meeting supervisor work liao working,0
1816,write ccna exam week,0
1817,watch shrek,0
1818,dirty fellow,0
1819,told,0
1820,probably tomorrow tonight,0
1821,dying feel sad wanted probably late night,0
1822,lifting,0
1823,dun wan dun eating,0
1824,email,0
1825,make dearer happiness feel meet pain feel miss,0
1826,teresa hope hear called received package dec thot fantastic year reading bam aid usmle work,0
1827,hey gorgeous work mobile number babe squishy mwahs,0
1828,call pls,0
1829,hottest pic straight phone wet wanting text pic txt cost textoperator xxx,1
1830,stay,0
1831,taking call job start monday,0
1832,time flight tomorrow,0
1833,,0
1834,prominent bite mark cheek,0
1835,september,0
1836,wet,0
1837,husband,0
1838,hack chat backdoor entry chat room fraction cost reply call subscribe dp bcm box ldn,1
1839,norm tomorrow finish co test sort library stuff point tomo letter today access march move,0
1840,list joanna feeling anti social,0
1841,office,0
1842,comingdown,0
1843,super replacement murali,0
1844,unsold,0
1845,join sts meeting call class,0
1846,engalnd telly decided watch elliot kissing damn,0
1847,free nokia motorola upto linerental free min free call call,1
1848,hear philosophy happen,0
1849,job wipro life year,0
1850,laptop matric card wif,0
1851,show aft toa payoh,0
1852,time contact pound prize claim easy call,1
1853,made payment sorry fedex,0
1854,play day year team india,0
1855,girl waiting reception,0
1856,god love amp clean heart ten special amp miracle tomorrow pls pls,0
1857,hate turn fun shopping trip annoying day house,0
1858,sir waiting call,0
1859,online,0
1860,work reach consensus meeting,0
1861,aiyah wait entertain hee,0
1862,wanted hurt laugh embarassed delete tag knew fact felt hurt show messy wednesday problem time clean choose skype picture sleep mind thing make bed throw laundry top friend house embarassed underwear bra strewn bed pillow floor making bed,0
1863,kick,0
1864,call call,0
1865,call number available appointment connect call waheed fathima,0
1866,buy wif meet,0
1867,mmmm fuck fair weakness grin push knee expose belly pull head forget wicked smile,0
1868,today system deep,0
1869,mom,0
1870,aight text back,0
1871,support as srt thnk play usb,0
1872,meant yep baby jontin,0
1873,guaranteed cash claim prize call customer service representative,1
1874,xxx pic hot banned,1
1875,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info,1
1876,watching job,0
1877,pen joke biro master,0
1878,party alex nichols,0
1879,secret admirer make contact reveal think,1
1880,missed call dear brother day,0
1881,finishing,0
1882,sorry,0
1883,slave unconsciously avoiding making unhappy,0
1884,love as enjoy doggy style,0
1885,gym excuse lazy jog,0
1886,dear invited xchat final attempt contact txt chat ldn,1
1887,urgent call landline abta complimentary tenerife holiday cash await collection sae box,1
1888,home long dry spell season,0
1889,collect car,0
1890,knackered home sleep full time work lark,0
1891,probably earlier station,0
1892,call listen extreme dirty live chat office total privacy sic listening,1
1893,morning plz call sir,0
1894,freemsg hey fones reply wild txt send pic hurry bored work xxx,1
1895,head left,0
1896,co darren shopping course nice jus sim lim player,0
1897,aight sound,0
1898,birthday,0
1899,love working home,0
1900,miss vday parachute double coin,0
1901,sorry call,0
1902,sister birla soft,0
1903,free entry weekly comp chance win ipod txt entry std txt rate apply detail,1
1904,okie okie muz make unlimited haha,0
1905,table lambda,0
1906,stop build snowman snow angel snowball fight,0
1907,ello babe,0
1908,beautiful kind row wiv walked pub wanted night wiv miss,0
1909,ikea str aft,0
1910,becoz jan whn post ofice holiday post ofice duffer,0
1911,grr mom taking forever prescription pharmacy minute away ugh,0
1912,real suck cook electricity hungry,0
1913,,0
1914,textbuddy chat horny guy area free receive search postcode txt rpl stop cnl,1
1915,time month mid time,0
1916,fffff text kadeem,0
1917,leaving eat thk,0
1918,fujitsu series lifebook,0
1919,yar wanted scold yest late zhong qing act real,0
1920,bring food,0
1921,current food,0
1922,sch dun haf book sch home,0
1923,village pub,0
1924,,0
1925,call time give hypertension,0
1926,give monkey wot mind friend sleep wiv wud annoyin,0
1927,omg snow tonite,0
1928,call tell call claim prize enter mobile personal detail prompt careful,1
1929,free week entry textpod chance win ipod cash txt vpod custcare,1
1930,carry disturbing,0
1931,bath,0
1932,jus finished avatar nigro,0
1933,scratching,0
1934,hope great day,0
1935,idea anyplaces,0
1936,planning stop find hella weed,0
1937,fact cleaning show upset priority constantly,0
1938,excellent ready moan scream ecstasy,0
1939,dogging area call join minded guy arrange evening minapn,1
1940,avatar imp point fly room hittng reflex,0
1941,costa sol holiday await collection call toclaim sae tc stockport,1
1942,search job,0
1943,lousy sleep waking hour wanted worry cold,0
1944,leave couple minute amp,0
1945,call make woken,0
1946,hey jazz power yoga hip hop yogasana,0
1947,battery adewale uncle aka egbon,0
1948,pick phone pls send message,0
1949,wait stand bus stop,0
1950,meant mary jane,0
1951,haha deduct lesson tomorrow,0
1952,goin wrks wot bout,0
1953,eat shit wait monkey bitch asshole,0
1954,night sleep,0
1955,aight grab eat text back,0
1956,search job,0
1957,pain move side doctor,0
1958,babe sliding place midnight invite,0
1959,howz person story,0
1960,guess secretly fancy find give call landline,1
1961,awesome payback,0
1962,free text message valid december,1
1963,completely form clark utter waste,0
1964,honeybee sweetest world god laughed amp wait havnt person reading message god crack joke,0
1965,tescos nice speak,0
1966,feathery bowa guy,0
1967,close eye vava playing umma,0
1968,laptop infra slow lar wan fast,0
1969,guaranteed award cashto claim award call free stop getstop php,1
1970,nevermind,0
1971,enjoy life night,0
1972,meet town co gep home text bus stop worry finished march ish,0
1973,askd question hour answer,0
1974,cool,0
1975,delhi chennai silent,0
1976,alright thinkin haha,0
1977,reply win weekly fifa world cup held send stop service,1
1978,boat mom check half naked,0
1979,shhhhh supposed,0
1980,sorry call,0
1981,sorry call meeting related trade call arul,0
1982,hey late amk drink tea coffee,0
1983,wnt buy bmw car urgently vry shortage source arng dis amt lac prob,0
1984,urgent call landline abta complimentary tenerife holiday cash await collection sae box ppm,1
1985,length top shorter fringe thk liao lazy dun wan distract,0
1986,antha corrct dane,0
1987,call message missed call,0
1988,sorry call,0
1989,basket gettin full tonight,0
1990,darlin back nice night lift tomorrow xxx,0
1991,valentine proof page ugh glad watch rupaul show tool,0
1992,free tone hope enjoyed content text stop unsubscribe provided,1
1993,sat book liao,0
1994,practising curtsey,0
1995,pickle,0
1996,boo hoping laugh,0
1997,def sat,0
1998,leave class babe back hope nice sleep love,0
1999,lmao fish memory,0
2000,sch si smth,0
2001,idea converted live,0
2002,themob selection hot downloads member free click open link fone,1
2003,india draw series year south african soil,0
2004,goodmorning today late decimal,0
2005,major role community outreach rock mel,0
2006,shopping raining mah hard leave orchard,0
2007,birth mother baby brilliantly,0
2008,forwarding message proof,0
2009,intention run choose room clean visitor choice wanted embarassed feel feel friend drop buy happened morning,0
2010,thk mum lazy neva,0
2011,rule talk earlier week start happening showing responsibility week bend rule tired thia argument week movie inlude preview,0
2012,beautiful truth gravity read carefully heart feel light feel heavy leaf goodmorning,0
2013,great news call freefone claim guaranteed cash gift speak live operator,1
2014,ambrith madurai arun dha marrge remembr,0
2015,read shame take run blame long time,0
2016,princess kitty shaved natural,0
2017,wife doctor,0
2018,ago,0
2019,tomorrow onwards eve work,0
2020,toa payoh place walk meh,0
2021,number tactful alex,0
2022,win music gift voucher week starting txt word draw tscs,1
2023,movie theatre watch unlimited movie pay,0
2024,lunch bored,0
2025,potato speak,0
2026,car meant crammed full,0
2027,job bar airport satsgettin hour mean lie touch,0
2028,kallis ready inning,0
2029,birthday,0
2030,ugh apologize admit wrong back,0
2031,wana pei oso rite day,0
2032,small kid boost secret energy,0
2033,miss,0
2034,avatar supposed subtoitles,0
2035,simply sitting watching match office,0
2036,jot thing remember,0
2037,sorry,0
2038,hey lesson gym,0
2039,pack buy cereal pack food pack gari miss,0
2040,make thing bigger,0
2041,dun wan watch infernal affair,0
2042,waking afternoon,0
2043,half price orange line rental latest camera phone free phone call mobilesdirect free update,1
2044,send,0
2045,booked including bugis,0
2046,aight fuck,0
2047,call time,0
2048,hook,0
2049,blackberry nigeria,0
2050,home calicut,0
2051,hey darlin pick college wen love,0
2052,call min call cast mob vary service provided aom aom stop age,1
2053,thkin goin yogasana rush parco okie call ready,0
2054,late laptop,0
2055,sir waiting mail,0
2056,charge mobile morning,0
2057,message frm tht unknown,0
2058,ugh fuck resubbing eve,0
2059,shadow early spring yay,0
2060,slice breadstick,0
2061,hey crave miss love ahmad saeed hallaq,0
2062,training tomorrow,0
2063,urgent mobile bonus caller prize attempt reach call possible,1
2064,pas dis contact red love wid blue put smile purple realy hot pink swt orange thnk lyk green realy wana wid yelow wnt bck black jealous brown miss plz giv color,0
2065,co daddy arranging time time fetch mah,0
2066,eldest,0
2067,drugdealer,0
2068,hard believe thing lie,0
2069,eerie nokia tone rply tone title tone dracula title ghost addamsfa munsters exorcist twilight,1
2070,sexy single waiting text age gender wither gay text age,1
2071,night dear sleepwell amp,0
2072,wondarfull song,0
2073,freemsg claim sm mate join remove txtx stop,1
2074,yar fast co slow haha,0
2075,bathe afternoon mah,0
2076,trust,0
2077,hey goin meet meal donyt feel cuz bus home he sweet latelyxxx,0
2078,free ringtone reply real,1
2079,noon,0
2080,opening mca,0
2081,aight happening side,0
2082,oredi,0
2083,sweet princess like dislike bed,0
2084,wish great semester,0
2085,love word rich day,0
2086,buff wind,0
2087,alright babe,0
2088,england official poly ringtone colour flag yer mobile text tone flag txt eng stop,1
2089,give yor money work pay rent fill fucking gas tank stressed depressed call home thanksgiving cuz,0
2090,kallis play odi,0
2091,cash text jason,0
2092,love soooo hear omg missed today sorry problem provider tming,0
2093,final chance claim worth discount voucher today text savamob member offer mobile savamob sub,1
2094,private account statement show unredeemed bonus point claim call identifier code expires,1
2095,probably pick,0
2096,,0
2097,cutest girl world,0
2098,dice art class idea time tomorrow,0
2099,sm service inclusive text credit pls goto unsubscribe stop extra charge,1
2100,howda gud gud mathe samachara chikku,0
2101,thk ticket,0
2102,audrie lousy autocorrect,0
2103,site simulate test tough question test readiness,0
2104,hit back light armand shit vomiting,0
2105,fetch yun fetch,0
2106,,0
2107,hmmm imagine home rub foot make dinner ready date ready kind life,0
2108,sexy george day jordan txt miss saucy celeb pic,1
2109,lara loan,0
2110,spare power supply,0
2111,yar clever aft guess bring thk darren aiya thk leona attach,0
2112,winner specially selected receive cash award speak live operator claim call cost,1
2113,bed back midnight,0
2114,sunshine hols claim holiday send stamped address envelope drink box bray wicklow eire quiz start saturday unsub stop,1
2115,available washob nobbing night nickey platt instead,0
2116,time week ryan,0
2117,wish return day happy birthday vikky,0
2118,win music gift voucher week starting txt word draw tscs skillgame,1
2119,hope mad,0
2120,argh spotty remember research province sterling place looked,0
2121,xam hall boy asked girl starting term dis answer manage lot hesitation lookin silently intha ponnungale ipaditan,0
2122,result,0
2123,congratulation week competition draw prize claim call sm,1
2124,beautiful truth gravity read carefully heart feel light feel heavy leaf night,0
2125,sorry feel totally rejected kind,0
2126,shitload diamond,0
2127,tessy pls favor pls convey birthday wish nimya pls dnt forget today birthday shijas,0
2128,aunty,0
2129,china noisy,0
2130,guess needa mcat study,0
2131,training manual show tech process password reset troubleshooting,0
2132,voucher marsms discount credit opt reply stop customer call,1
2133,spoke uncle john today strongly feel sacrifice call beg listen make promise make clear thing easy work thing long expecting creativity stifled pls happy promise part,0
2134,started searching job great potential talent,0
2135,carlos leave minute,0
2136,love,0
2137,hostel,0
2138,loving,0
2139,juz remembered bathe today,0
2140,eat,0
2141,alright morphine back,0
2142,requirement,0
2143,stayin trouble stranger dave day heaos sorted bloke gona girl mum think,0
2144,freemsg hey buffy love satisfy home feeling randy reply pix qlynnbv message send stop stop txts,1
2145,sunshine hols claim holiday send stamped address envelope drink box bray wicklow eire quiz start saturday unsub stop,1
2146,collect laptop,0
2147,showing cld drink wld prefer spend money nosh mind nxt,0
2148,home,0
2149,waaaat lololo time,0
2150,table occupied waiting tree,0
2151,surely forgot touch,0
2152,kindly give back document submitted loan stapati,0
2153,buy dear,0
2154,god happy message day,0
2155,year mile,0
2156,hey cutie wale kind hill shit avent killed,0
2157,sad story week wife wish parent forgot kid work colleague wish entered cabin happy bos felt special askd lunch lunch invited apartment mind bedroom minute sed sexy mood minuts latr wid cake wife parent kidz friend colleague screaming surprise waiting sofa naked,0
2158,honesty road call bank tomorrow tough decision make great,0
2159,free week nokia tone mob week txt nokia txting mate zed pobox,1
2160,specialisation work slave labor month sha co shakara beggar,0
2161,replying boye changed phone number,0
2162,write message put dictionary cover screen hand press gently remove hand interesting,0
2163,darlin london smashed driver big dent missing xxx,0
2164,making speed,0
2165,coming home dinner,0
2166,lost,0
2167,crickiting mind,0
2168,month,0
2169,shop drop cash travel voucher call ntt box fixedline cost mobile vary,1
2170,imin urgoin,0
2171,wit guy,0
2172,yavnt played original,0
2173,hiya day spoken weekend,0
2174,,0
2175,work call,0
2176,ready moan scream,0
2177,job,0
2178,late school night especially class missed wednesday probably failed test friday,0
2179,popping ibuprofen,0
2180,babe day sip cappuccino love send kiss,0
2181,,0
2182,grown,0
2183,chinatown porridge claypot rice yam cake fishhead beehoon eat cheap cafe tok nydc somethin,0
2184,hit fuck,0
2185,purity friendship smiling reading forwarded message smiling gud evng,0
2186,specific jaklin fuck,0
2187,god google nearby cliff,0
2188,free camera phone linerental cross ntwk min price txt bundle deal avble call,1
2189,shd haf ard page add figure page,0
2190,ooh start belly dancing moseley wed join cafe,0
2191,thankyou call appreciate,0
2192,congrats treat mail mail mother mail,0
2193,called pick phone,0
2194,email address changed,0
2195,happy valentine day advance,0
2196,textin bout,0
2197,bring,0
